How old are you?;What is your gender?;What is the highest degree or level of education you have completed?;What is your employment status?;Have you adopted a Fintech bank (i.e., opened and used an account)?;Which banks do you currently actively use?;What were the main reasons you adopted a Fintech bank? (Select up to 2 options);How frequently do you use your Fintech bank?;Which Fintech services do you actively use? (Select all that apply);In a few words can you explain what you like the most about your Fintech bank?;If you have not adopted a Fintech, what is the main reason?;Which of the following factors influence your hesitation to adopt Fintech banking serivces?;On a scale from 1 to 5, how much do you trust Fintech banks?;On a scale from 1 to 5, how much do you trust Traditional banks?;What changes would make Fintech banks more attractive to you?;If you are considering adopting a Fintech bank, what would be the most important deciding factor for you?;Thank you!
71+;Male;High School diploma;Retired;No;ING en RABO;;;;;Onbekend ben van het traditionele. ;Security & Data Privacy risks, AI-driven descion making (e.g. loan approvals, fraud detection);1 = No trust at all;2 = Low trust;Weet ik niet. ;Ben daar  niet van op de hoogte. ;
71+;Female;High School diploma;Retired;No;Ing;;;;;Voor mij onbekend;Security & Data Privacy risks;1 = No trust at all;4 = Somewhat trust;;;
71+;Male;High School diploma;Retired;No;ING BANK;;;;;Geen kennis van;other Ben gehandicapte met NAH;1 = No trust at all;1 = No trust at all;GEEN;Onbekend;
71+;Female;High School diploma;Retired;No;Ing;;;;;Geen interesse;Security & Data Privacy risks;1 = No trust at all;;Niks;;
71+;Male;Master's degree;Retired;No;Ing saxo v lanschot;;;;;Onbekend ;Lack of physical branches, AI-driven descion making (e.g. loan approvals, fraud detection);2 = Low trust;5 = Fully trust;Geïntegreerd in oude bank;Weet ik niet;
61-70;Male;Higher professional education or technical HBO diploma;Retired;No;Ing;;;;;Nvt;AI-driven descion making (e.g. loan approvals, fraud detection);2 = Low trust;;Weet niet ;Weet niet ;
61-70;Male;Higher professional education or technical HBO diploma;Retired;No;Ing;;;;;X;other other;1 = No trust at all;4 = Somewhat trust;X;Bekendheid;
61-70;Female;Higher professional education or technical HBO diploma;Retired;No;Ing;;;;;Onzekerheid;Security & Data Privacy risks, Lack of physical branches, Unreliable customer support, AI-driven descion making (e.g. loan approvals, fraud detection);2 = Low trust;4 = Somewhat trust;;;
45-60;Male;High School diploma;Employed Full time;No;Nvt;;;;;;other other;1 = No trust at all;5 = Fully trust;Nct;;
45-60;Male;High School diploma;Unemployed;No;ING;;;;;Nijs;other Weet niks van;1 = No trust at all;1 = No trust at all;Geen idee ;Niks;
71+;Female;Higher professional education or technical HBO diploma;Retired;No;ING en Regiobank;;;;;Onbekend ;other other onbekend ;3 = Neutral;;Geen ;;
45-60;Female;No educational diploma;Employed Part time;No;ING ;;;;;ING ;Security & Data Privacy risks;3 = Neutral;4 = Somewhat trust;Weet ik niet;Ik weet niet ;
71+;Male;High School diploma;Retired;No;Ing;;;;;Geen rede voo;other Weinig vertrouwen in banken;1 = No trust at all;;Heb daar niet echt o;Zie vorige v;
61-70;Female;High School diploma;Retired;No;Ing;;;;;Ken ik niet;other Ken ik niet;;;;;
71+;Male;Master's degree;Retired;No;Ing. Rabo;;;;;Geen behoefte aan.;Lack of physical branches;2 = Low trust;4 = Somewhat trust;Weet ik niet;Nvt;
71+;Male;Master's degree;Retired;No;ING ABN ;;;;;Geen ;other other;3 = Neutral;5 = Fully trust;;;
61-70;Male;other nvt;Retired;No;nvt;;;;;.;other nvt;1 = No trust at all;1 = No trust at all;nvt;nvt;
71+;Female;Higher professional education or technical HBO diploma;Retired;No;INGB - ABNA;;;;;Geen behoefte,  deze voldoen prima ;Security & Data Privacy risks, Lack of physical branches, Unreliable customer support, AI-driven descion making (e.g. loan approvals, fraud detection), Lack of regulation;1 = No trust at all;;Geen idee ;Geen idee ;
29-44;Prefer not to say;Bachelor's degree;Self Employed;Yes;İNG;Better mobile experience, Faster transactions;Daily;Everyday transactions (e.g. payments, transfers), Savings & Investments, AI-driven budgeting tools;Kunstmatige intelligentie;;;5 = Fully trust;;Geld waar we van kunnen rondkomen;;
71+;Male;PhD;Retired;Yes;Bunq;Other Rentepercentage;Regularly (Weekly);Savings & Investments;De hoogte van de rente;;;5 = Fully trust;5 = Fully trust;Geen wensen;;
61-70;Female;Higher professional education or technical HBO diploma;Employed Part time;No;Geen;;;;;Geen idee;other Nog nooit in verdiept;3 = Neutral;3 = Neutral;Als ze in NL gevestigd zijn;Geen idee, stomme vraag;
61-70;Female;High School diploma;Retired;No;NERGENS ALLEEN ING;;;;;GEEN IDEE;other other;2 = Low trust;3 = Neutral;GEEN IDEE NOOIT VAN GEHOORD;GEEN IDEE;
71+;Male;High School diploma;Retired;Yes;Ing;Lower fees;Daily;Everyday transactions (e.g. payments, transfers);Heb Dede rekeying Al 45bjaar;;;5 = Fully trust;5 = Fully trust;;;
29-44;Male;Master's degree;Employed Full time;Yes;ING, Garanti, Wise;Lower fees, Faster transactions, No foreign transaction fees;Regularly (Weekly);Everyday transactions (e.g. payments, transfers), Cryptocurrency transactions, International transfers;Timing ;;;4 = Somewhat trust;4 = Somewhat trust;Already actively using;;
71+;Male;Higher professional education or technical HBO diploma;Retired;No;Rabo;;;;;Geen behoefte ;Lack of physical branches, AI-driven descion making (e.g. loan approvals, fraud detection);3 = Neutral;5 = Fully trust;????;;
61-70;Male;Bachelor's degree;Employed Part time;No;Ing,asn;;;;;Niet mee bekend;Security & Data Privacy risks, Lack of physical branches, Unreliable customer support;2 = Low trust;4 = Somewhat trust;;;
45-60;Female;No educational diploma;Employed Part time;No;Rabobank;;;;;Geen behoefte;Lack of physical branches;3 = Neutral;3 = Neutral;Geen idee;Geen idee;
71+;Female;Higher professional education or technical HBO diploma;Retired;No;Abn;;;;;Onbekend ;other other;2 = Low trust;3 = Neutral;Nvt;Nvt;
29-44;Male;Master's degree;Employed Full time;Yes;ING;Faster transactions;Regularly (Weekly);Everyday transactions (e.g. payments, transfers);app feature;;;5 = Fully trust;;more guidance on investiment;;
29-44;Male;Higher professional education or technical HBO diploma;Employed Full time;No;ING;;;;;Ik zie de noodzaak niet. Alhoewel ik er wel nieuwsgierig naar ben omdat ik het steeds meer om mij heen hoor;other Onwetendheid;3 = Neutral;4 = Somewhat trust;Als de traditionele toezichthouders er zichtbaarder achter staan;nvt. Ik heb geen rekening;
29-44;Male;Master's degree;Employed Full time;No;ING;;;;;Gemakt en vertrouwen in mijn huidige bank. ;Security & Data Privacy risks, Unreliable customer support;3 = Neutral;4 = Somewhat trust;;;
45-60;Male;Master's degree;Employed Full time;No;ING;;;;;te veel gedoe;Security & Data Privacy risks;3 = Neutral;5 = Fully trust;Goeien in naamsbekendheid en betrouwbaarheid;?;
29-44;Female;Master's degree;Employed Full time;Yes;Revolut;Lower fees, Faster transactions;Daily;Everyday transactions (e.g. payments, transfers);Easier to move money, easier to split bills (without creating a tikkie), easier to open as an expat;;;4 = Somewhat trust;5 = Fully trust;Points of contact ;;
45-60;Male;PhD;Employed Full time;Yes;Revolut;Lower fees, Better mobile experience, No foreign transaction fees;Occasionally (A few times a month);Everyday transactions (e.g. payments, transfers);"digitale pas / wallet, héél prettig in buitenland.
rekening kunnen openen in buitenlandse valuta (gratis).
ik vind de app (revolut) ook erg goed";;;5 = Fully trust;5 = Fully trust;;;
29-44;Male;Master's degree;Employed Full time;Yes;Bunq, ING;Better investment options;Occasionally (A few times a month);Savings & Investments;Hogere spaarrente ;;;3 = Neutral;5 = Fully trust;Meer marketing zodat de banken vertrouwelijker overkomen. Je hoort of ziet relatief weinig van ze. ;;
29-44;Female;Higher professional education or technical HBO diploma;Employed Full time;No;ING;;;;;Ken het niet;other other;2 = Low trust;3 = Neutral;;;
45-60;Male;Higher professional education or technical HBO diploma;Employed Full time;Yes;ING, Revolut;Lower fees, Better mobile experience, Better investment options, Other als Backup voor als de pas het weer eens niet doet;Occasionally (A few times a month);Everyday transactions (e.g. payments, transfers), Savings & Investments;er zit geen legacy in, er is goed over nagedacht, ze hebben bankieren opnieuw uitgevonden, het is toch anders als je een systeembank bent. het gaat om vertrouwen, dat heb ik meer in de ING dan in Revolut. Ik zou daar NOOIT al mijn geld heen brengen.;;;2 = Low trust;5 = Fully trust;geen;;
45-60;Male;Master's degree;Employed Full time;No;ing;;;;;geen extra rekening nodig;Security & Data Privacy risks, Lack of regulation, AI-driven descion making (e.g. loan approvals, fraud detection);2 = Low trust;2 = Low trust;meer regulering bij de overheid;zakelijke producten;
